song,link,lyrics,word_count,unique_word,sia_positive,sia_negative,sia_neutral,sia_compound,artist
Hollywood's Bleeding,https://genius.com/Post-malone-hollywoods-bleeding-lyrics, hollywoods bleeding vampires feedin darkness turns to dust everyones gone but no ones leavin nobody left but us trynau2005chaseu2005a feelin butu2005well never feel it ridin on theu2005last train home dyin in our sleep were livin out a dream we only make it out alone   i just keep on hopin that you call me you say you wanna see me but you cant right now you never took the time to get to know me was scared of losin somethin that we never found were running out of reasons but we cant let go yeah hollywood is bleeding but we call it home  verse outside the winter sky turnin grey city up in smoke its only ash when it rains howl at the moon and go to sleep in the day love for everybody til the drugs fade away in the mornin blocking out the sun with the shades she gotta check her pulse and tell herself that she okay it seem like dying young is an honor but whod be at my funeral i wonder i go out and all they eyes on me i show out do you like what you see and now they closin in on me let em sharpen all they teeth this is more than i can handle blood in my lambo wish i could go oh im losin hoope i light a candle some palo santo for all these demons wish i could just go on   i just keep on hopin that you call me you say you wanna see me but you cant right now you never took the time to get to know me was scared of losin somethin that we never found were running out of reasons but we cant let go yeah hollywood is bleeding but we call it home,300,27,0.091,0.079,0.83,0.7215,post
Saint-Tropez,https://genius.com/Post-malone-saint-tropez-lyrics, ooh yeah yeah hey   such a long time wow ive been waitin ive been waitin for au2005longu2005time yeah such au2005long time ive been waitin ive beenu2005waitin for a long time yeah such a long time ooh   ooh this shit bliss im so rich turnt as shit ooh abs like abercrombie fitch damn ooh mille on my whoa wrist wrist versace boxers on my dick on my dick damn bud light runnin through my piss ooh on a yacht 50 meters its offish its official 50 carats on my fist on my fist the roof go down when i hit switch ooh bitch i money ball like bradley pitt bradley pitt ayy i worked so hard for all this shit all this shit pumpin out classics ooh in the batmobile goin bat shit   such a long time damn ive been waitin ive been waitin for a long time such a long time such a long time such a long time ive been waitin ive been waitin for a long time for a long time such a long time   im in sainttropez i had to check wrist wow i just bought my girl a new necklace a new necklace one two three four five six five six ill take em all dont matter what the price is what the price is i said im sorry mama for my vices for my vices youll never understand what my life is my life is one two three four five six damn shit im checking off my bucket list my bucket list you try to give advice i dont need it ive been doin what i want since fetus what you call a holiday ooh i call another day yeah and i aint ever stoppin no apologies   such a long time such a long time ive been waitin ive been waitin for a long time such a long time such a long time such a long time ive been waitin ive been waitin for a long time a long time such a long time  outro im in sainttropez i had to check wrist,348,29,0.099,0.151,0.75,-0.9696,post
Enemies (Ft.DaBaby),https://genius.com/Post-malone-enemies-lyrics, post malone used to have friends now i got enemies ooh used to keep em close now theyu2005deadu2005to me damn usedu2005to have friends now i gotu2005enemies ooh enemies yeah its so sad   post malone they said i would never get this far ah ah think that we dont see who you are are are laughin to the bank like ha ha ha guess that im just talkin too much blah blah blah shut the fuck up so where did yall go ooh when i was shit broke couldnt even buy smokes now your mama needs tickets to my stadium show stadium show she love it when she hear me on the radio oh i know its hard to swallow your pride sorry that you cant get over me over me now youre out my life im so relieved i   post malone used to have friends now i got enemies damn used to keep em close now they dead to me ooh money tend to show all they tendencies damn enemies yeah its so sad  post post malone sometimes every time they let me down they let me down sometimes every time they let me down they let me down used to have friends now i got enemies enemies yeah its so sad   dababy close to my enemies lets go i need better energy huh when i told you fuck you you thought i was playin huh yeah yeah but i meant the shit literally she want to vibe but i told her fuck that nope she looking at me like she surprised theyre packin the post and im home alone when the box hit the door they go for 35 i try to put on for my partners they turn into enemies right before a nigga eye you reach for a shake ima hold out a fist giving a nigga a quarter pound without the fries i just went double platinum with no features just to show a nigga i dont really need him pass a man a plate and he can make it shake its guaranteed hell fold and bite the hand that feed him and i know you think that i aint see it and i know you bitch aint got a car dont make me go and buy a bitch a lil prius fuck on the camera we can call it even friends are like the autumn every year they leavin and ima rake em in a pile throw em in a bag tie them bitches up and leave em cause most of these niggas are deceiving and i ooh   post malone used to have friends now i got enemies damn used to keep em close now they dead to me ooh money tend to show all they tendencies damn enemies yeah its so sad  post post malone sometimes every time they let me down they let me down sometimes every time they let me down they let me down used to have friends now i got enemies enemies yeah its so sad   post malone its too late to turn this shit around its too late only held me down when you wanted me to drown its too late to turn this shit around its too late so dont try and tell me that youre happy for me now   post malone used to have friends now i got enemies used to keep em close now they dead to me dead to me money tend to show all they tendencies tendencies enemies yeah its so sad  post post malone sometimes every time they let me down they let me down sometimes every time they let me down they let me down used to have friends now i got enemies enemies yeah its so sad  outro post malone ooh its too late its too late,636,30,0.113,0.247,0.6409999999999999,-0.9989,post
Allergic,https://genius.com/Post-malone-allergic-lyrics, wasted on sunday erase you on monday allergic allergic gave in by friday went straight back to sideways allergic allergic  pre iu2005tooku2005your pills andu2005your drugs just to feel somethingu2005else cause i cant feel you no more   so sad but true youre friends with all my demons the only one that sees them too bad for you so sad but true gave a hundred million reasons but why cant you believe them too bad for you   yeah we fight and we fuck until we open the cuts and now were soberin up but never sober enough allergic allergic instead of holdin me down youre only holding me up it shouldnt be so hard this is impossible love allergic allergic  pre i took your pills and your drugs just to feel something else cause i cant feel you no more   so sad but true youre friends with all my demons the only one that sees them too bad for you so sad but true gave a hundred million reasons but why cant you believe them too bad for you  outro so sad but true gave a hundred million reasons but why cant you believe them too bad for you,197,27,0.153,0.285,0.562,-0.9886,post
A Thousand Bad Times,https://genius.com/Post-malone-a-thousand-bad-times-lyrics, yeah oh whoa ooh yeah yeah   said you needed a ride but you wanted my car without thatu2005faceu2005girl you wouldntu2005get far i really like you despiteu2005who you are oh who you are you see me on tv you know im a star you say you dont know me but i know thats false ill pay the price girl whatever that cost oh what it cost  pre you make my life so hard but thats what gets me off   i had a thousand bad times so whats another time to me whats that to me yeah you try to burn my house down but whats another house to me whats that to me yeah cause i can take anything that you give me what you give me its gonna take a lot more to kill me bitch so thank you for the grave yeah i needed me a place to sleep place to sleep   and i dont wanna meet your mama no she prolly crazier than you she prolly crazier than you im gonna need some thicker armor armor to spend another night with you and on and on and on baby i know just what to do every time you fuck me over ill come back to you baby i dont want to know the truth know the truth i ignore them when they tell me all the shit you do shit you do i always get my heart broke like i needed the practice needed foot on my throat til my world is collapsin damn but this what i chose its the law of attraction yeah attraction and on and on and on  pre you make my life so hard so hard so hard but thats what gets me off   i had a thousand bad times so whats another time to me so whats that to me yeah you try to burn my house down but whats another house to me so whats that to me yeah cause i can take anything that you give me what you give me its gonna take a lot more to kill me bitch kill me so thank you for the grave yeah i needed me a place to sleep place to sleep   i should get out but i still want more i should get out what am i waitin for its all the same to me its all a game to me its all the same to me its all the same   i had a thousand bad times so whats another time to me whats that to me you try to burn my house down but whats another house to me whats that to me cause i can take anything that you give me what you give me its gonna take a lot more to kill me bitch kill me so thank you for the grave yeah i needed me a place to sleep place to sleep we go there oh,489,28,0.12300000000000001,0.196,0.6809999999999999,-0.9941,post
Circles,https://genius.com/Post-malone-circles-lyrics, oh oh oh ohu200a oh oh ohu200a oh oh oh oh   we couldnt turn around til we were upside down ill be the bad guy now but know i aint too proud iu200a couldnt be there even when i tried youu200a dont believe it we do this every time   seasons change and our love went cold feedu200a the flame cause we cant let go run away but were running in circles run away run away i dare you to do something imu200a waiting on you again so i dont take the blame run away but were running in circles run away run away run away   let go i got a feeling that its time to let go i said so i knew that this was doomed from the getgo you thought that it was special special but it was just the sex though the sex though and i still hear the echoes the echoes i got a feeling that its time to let it go let it go   seasons change and our love went cold feed the flame cause we cant let go run away but were running in circles run away run away i dare you to do something im waiting on you again so i dont take the blame run away but were running in circles run away run away run away   maybe you dont understand what im going through its only me what you got to lose make up your mind tell me what are you gonna do its only me let it go   seasons change and our love went cold feed the flame cause we cant let go run away but were running in circles run away run away i dare you to do something im waiting on you again so i dont take the blame run away but were running in circles run away run away run away,313,27,0.106,0.05,0.8440000000000001,0.963,post
Die For Me (Ft.Future & Halsey),https://genius.com/Post-malone-die-for-me-lyrics, future  post malone oh yeah oh yeah oh yeah yeah youd die for me said youd die said youd die butu2005youu2005lied you liedu2005to me   post malone said youd take a bulletu2005told me you would die for me i had a really bad feeling youd been lying to me we were on the low but you were getting high with me when its past 11 thats a different side i see said youd die for me youd die for me youd die for me but you lied to me you lied to me you lied to me said youd die for me youd die for me youd die for me but you lied to me you lied to me you lied to me   post malone it was love at first sight felt like you were chosen oh but that blood in your veins yeah i know its frozen its so cold got no patience no more no been waitin too long yeah you hid that shit away and i was the last one to know bitch ayy i heard you comin in i was lyin there awake didnt know that it was you got the gun right out the safe damn remember when you got my ass arrested wow at least when i was in jail i got some rest in yeah  pre post malone ooh i surrender ayy time to forget ya ayy im too tired to forgive ya ayy its too hard on my liver ayy and you know ayy its all ayy over now all your friends ayy you know ayy they sold you out   post malone  future said youd take a bullet told me you would die for me die for me i had a really bad feeling youd been lying to me lying to me we were on the low but you were getting high with me high with me when its past 11 thats a different side i see side i see said youd die for me youd die for me youd die for me die die die but you lied to me you lied to me you lied to me lie lie lie said youd die for me youd die for me youd die for me die die die but you lied to me you lied to me you lied to me yeah you lied yeah   future it was a vip happened to be one of my best nights 9 am i came from out the club it was daylight daylight got a bad girl i was treating her too nicexa0i was treating her too nice caught you being vulnerable that aint what i need that aint what i need you just sold your soul girl quit crying sold your soul your passport it looks like you lying know you cold you broken down by your past dont deny it you know i know your ex called you was vulnerable you flying nah flying wasnt on the best of terms girl i was trying i was trying on ya i did everything to reach out to you i was reaching out said you never had me caught up in noxa0drama no drama i done ran into my karma i done ran   future said youd take a bullet told me you would die for me that you would die i had a really bad feeling youd been lying to me youd been lying we been on the low but you been getting high with me you was high when its past 11 thats a different side i see a different side said youd die for me youd die for me youd die for me said youd die you said youd die but you lied to me you lied to me you lied to me now youre lying said youd die for me youd die for me youd die for me oh yeah oh yeah oh yeah but you lied to me you lied to me you lied to me  verse 3 halsey settle down ill spell it out its simple enough i came around i figured out should follow my gut i dont play anymore i went through your phone and called the girls in your dms and took all them home and i know its been a while since the last time you heard from me grew into a savage and thats why they gave this verse to me turns out it shows cause they turn out at shows i sold 15 million copies of a breakup note brought some strangers in our beds and now you lost your right to privacy spilling all our secrets when you thought theyd probably die with me know you fucking love it on the low and you dont have to say im crazy cause i know nothings changed though   post malone  halsey halsey said youd take a bullet told me you would die for me youd die youd die youd die i had a really bad feeling youd been lying to me but you lied you lied you lied we were on the low but you were getting high with me youd die youd die youd die when its past 11 thats a different side i see but you lied you lied you lied said youd die for me youd die for me youd die for me youd die youd die youd die but you lied to me you lied to me you lied to me but you lied you lied you lied said youd die for me youd die for me youd die for me youd die youd die youd die but you lied to me you lied to me you lied to me but you lied you lied you lied,955,33,0.07,0.39799999999999996,0.532,-0.9999,post
On the Road (Ft.LilBaby & MeekMill),https://genius.com/Post-malone-on-the-road-lyrics, post malone mm mm mm mm   post malone cause they aint ever seein me fold under pressure they aint never ever seenu2005meu2005fold nah never alwaysu2005keep one up on em causeu2005im too clever i would never ever sell my soul nah never cause i been on the road been on the road i quit actin like you been with me this whole time cause i been on the road been on the road i quit actin like you been with me this whole time   post malone yeah they bet ima fall and im only 24 but bitch i been through it all i got so many hits cant remember them all ooh while im takin a shit look at the plaques on the wall yall just sit back get your kick back keep on actin like you did that got no respect for nobody whos just fake in life ayy ayy you aint really who you say you are so pick up the pace there aint no slowin me up slowin me up get the fuck out my face can you stop blowing me up cause my time is expensive one mill a setlist bought a new car fore you woke up for breakfast yeah   post malone cause they aint ever seen me fold under pressure they aint never ever seen me fold nah never always keep one up on em cause im too clever too clever i would never ever sell my soul nah never cause i been on the road been on the road i quit actin like you been with me this whole time cause i been on the road been on the road i quit actin like you been with me this whole time   meek mill yeah where you been where you been when it was time to do some work and put it in put it in i just be laughin when i see em look at them ha leave when i lose and pop back up as soon as i win uh you aint my day one and i know you not my friend so i cant judge you when you do some phony shit and just pretend like you really down with me because bein loyal starts within i seen that money overpower that love and turn it thin but it aint stop me i just kept goin up took it on the chin i wish every time they said i would fold id make an m fuck around and be as rich as jeff bezos say it again never lose i go overtime on em stay in that gym lets get it   post malone cause they aint ever seein me fold under pressure they aint never ever seen me fold nah never always keep one up on em cause im too clever i would never ever sell my soul nah never cause i been on the road been on the road i quit actin like you been with me this whole time cause i been on the road been on the road i quit actin like you been with me this whole time  verse 3 lil baby im tired of bein tired this my last shot you cant be mad at least i tried we supposed to be grown but yet you still acting childish i can get on the jet alone i dont need no extra baggage this year turned into a savage i got baguettes in my necklace driving fast and i wont crash it and im supposed to be sober but some kind of way i just keep getting loaded its gonna take more than some pressure to fold me tried as hard as i can but at this point its outta my hands i aint runnin out of these bands for nothin or no one she say im a dog but it takes one to know one been goin hard been by myself i dont need no love   post malone cause they aint ever seein me fold under pressure they aint never ever seen me fold nah never always keep one up on em cause im too clever i would never ever sell my soul nah never cause i been on the road been on the road i quit actin like you been with me this whole time cause i been on the road been on the road i quit actin like you been with me this whole time  outro post malone mm oh oh no mm oh oh no on the road oh,755,32,0.128,0.11800000000000001,0.753,0.7466,post
Take What You Want (Ft.OzzyOsbourne & TravisScott),https://genius.com/Post-malone-take-what-you-want-lyrics, post malone oh   ozzy osbourne i feel you crumble in my arms down to your heart of stone you bled meu2005dryu2005just like theu2005tears you never show why dont youu2005take what you want from me take what you need from me take what you want and go why dont you take what you want from me take what you need from me take what you want and go   post malone i never needed anything from you and all i ever asked was for the truth all i ever asked was for you showed your tongue and it was forked in two your venom was lethal i almost believed you almost believed you yeah you preyed on my every mistake waited on me to break held me under hopin i would drown like a plague i was wasting away tryna find my way out find my way out find my way out  pre 1 post malone and it finally came the day i start giving my heart away for heavens sake my bones will break but youll never own my soul no   post malone i feel you crumble in my arms down to your heart of stone you bled me dry just like the tears you never show why dont you take what you want from me take what you need from me take what you want and go why dont you take what you want from me take what you need from me take what you want and go   travis scott i took them stones you threw made chains for the crew ice i brought up 10 hoes this coupe only made for two yessir they all ran through it it aint nothin left to do i need some more reasons to live out this evening straight up ive been sippin forever and just taking whatever hoping thinking whenever youll be back around lets go our ways whichever you say how is however long cause you know ill never be alone yeah  pre 2 travis scott love love yeah shorty gon back shorty gon shorty gon back need it on sight need it on need it on sight crack it all back crack it all crack it all back give her that pipe give her that give her that pipe all of my gang all of my all of my gang shawty went bad shawty went shawty went bad   ozzy osbourne  post malone i feel you crumble in my arms down to your heart of stone you bled me dry just like the tears you never show why dont you take what you want from me take what you need from me take what you want and go why dont you take what you want from me take what you need from me take what you want and go  outro post malone take it all away why dont you take what you want take what you need take what you need from me yeah take what you want why dont you take what you need what you need yeah,508,29,0.12,0.049,0.831,0.9737,post
I'm Gonna Be,https://genius.com/Post-malone-im-gonna-be-lyrics, can you feel it can you feel it can you feel it can you feel it   pop the topu2005fillu2005my cup upu2005yeah keep em pourin til im fuckedu2005up oh yeah diamond simon with my shirt tucked yeah mink was 80k thats fucked up oh yeah wow hey ill rock the shit but not for long not for not for long then ill go cop another one nother one some people think im livin wrong livin wrong hey hey we live this life but not for long so   im gonna be what i want what i want what i want yeah yeah im gonna do what i want when i want when i want yeah yeah im goin hard til im gone til im gone til im gone yeah gone yeah can you feel it can you feel it im gonna be what i want what i want what i want yeah i wanna be im gonna do what i want when i want when i want yeah i wanna be im goin hard til im gone til im gone til im gone yeah til im gone til im gone can you feel it can you feel it uhhuh   hey why you so mad why you so mad never look back never look back cant let up the gas we movin so fast yeah lets make it last yeah im on to you mmmm damn youre too comfortable ayyayy who you talkin to mmmm aint no time for you ayy ooh i do what i want tom ford on the yacht ooh wow richard mille my watch thousand dollar crocs ooh ooh they tryna tell me that its luck you probably think i made it up i got it all it aint enough but im still gonna run it up so ooh   im gonna be what i want what i want what i want yeah what i want im gonna do what i want when i want when i want yeah what i want what i want yeah im goin hard til im gone til im gone til im gone yeah til im gone til im gone til im gone can you feel it ooh can you feel it hey im gonna be what i want what i want what i want yeah what i want what i want im gonna do what i want when i want when i want yeah what i want what i want im goin hard til im gone til im gone til im gone yeah til im gone til im gone til im gone can you feel it ooh can you feel it   ever since i got a taste ive been goin goin every chip out on the table bitch im all in ayy im gonna be ayy im gonna be bitch im gonna be   im gonna be what i want what i want what i want yeah god damn god damn im gonna do what i want when i want when i want yeah what i want what i want im goin hard til im gone til im gone til im gone yeah til im gone til im gone til im gone can you feel it can you feel it can you feel it  outro can you feel it can you feel it im gonna be can you feel it,555,27,0.23600000000000002,0.09300000000000001,0.6709999999999999,0.9941,post
Staring at the Sun (Ft.SZA),https://genius.com/Post-malone-staring-at-the-sun-lyrics, post malone oh   post malone wait wait i know you gotta a lotta shit youd like to say to say tou2005say slowu2005down think youu2005gettin lil carried away youre too closeu2005to the flame but you dont wanna turn around like you got me figured out  pre 1 post malone but girl what i can promise is ill let you down so dont put up a fight youll get lost in the light   post malone if you keep staring at the sun you wont see what you have become this cant be everything you thought it was blinded by the thought of us so give me a chance i will fuck up again i warned you in advance but you just keep on starin at the sun   sza wait yeah yeah wait i know i got a lot of shit going on with me oh yeah oh yeah oh yeah now were free to loving anyone other than me i try to rewind i get reminded that time dont wait for nobody cant get too close and dont let it go  pre 2 sza cause i can count on you to let me down i wont put up a fight i got lost in the light oh   post malone and sza if you keep staring at the sun you wont see what you have become this cant be everything you thought it was blinded by the thought of us so give me a chance i will fuck up again i warned you in advance but you just keep on starin at the sun   post malone sza and both wait got a couple little things i would like to say oh yeah today is not your day you should walk away oh yeah but you wont listen you just keep on oh yeah   post malone and sza staring at the sun you wont see what you have become this cant be everything you thought it was blinded by the thought of us so give me a chance i will fuck up again i warned you in advance but you just keep on starin at the sun,353,29,0.147,0.096,0.757,0.9512,post
Sunflower byPostMalone & Swae Lee,https://genius.com/Post-malone-and-swae-lee-sunflower-lyrics, swae lee ayy ayy ayy ayy ooh ooh ooh ooh ooh ooh ayy ayy ooh ooh ooh ooh   swae lee needless to say i keep in check she was a badbad nevertheless yeah callin it quits now baby im a wreck wreck crash at my place baby youre a wreck wreck needless to say im keeping in check she was a badbad nevertheless callin it quits now baby im a wreck crash at my place baby youre a wreck thinkin in a bad way losin your grip screamin at my face baby dont trip someone took a big l dont know how that felt lookin at you sideways party on tilt oohooh some things you just cant refuse she wanna ride me like a cruise and im not tryna lose   swae lee then youre left in the dust unless i stuck by ya youre a sunflower i think your love would be too much or youll be left in the dust unless i stuck by ya youre the sunflower youre the sunflower   post malone every time im leavin on ya ooh you dont make it easy no no no wish i could be there for ya ooh give me a reason to oh oh every time im walkin out oh i can hear you tellin me to turn around oh oh fightin for my trust and you wont back down no even if we gotta risk it all right now oh now i know youre scared of the unknown known you dont wanna be alone alone i know i always come and go and go but its out of my control   post malone and youll be left in the dust unless i stuck by ya youre the sunflower i think your love would be too much or youll be left in the dust unless i stuck by ya youre the sunflower youre the sunflower yeah,315,25,0.081,0.11599999999999999,0.8029999999999999,-0.6174,post
Internet,https://genius.com/Post-malone-internet-lyrics, eyeahyeahyeah oh whoa eyeahyeahyeah  verse i just seen lil mama instagram and she flexin dont care about your puppy just that ass and them breastses oh girl you a model damn i never woulda guessed it and if you tryna throw out all them vibes ima catch em the lifestyle we live is just too dangerous paranoid since theyve been leakin my shit wonder if itll come out on the web and i cant help all these bitches on my dick takin a photo and postin that shit comin home late and i crawl into bed she always be askin me where have you been whoa  pre the world has gone to shit and we all know that people freakin out like hit the prozac leon dechino shorts got all the blogs mad well fuck the internet and you can quote that whoa   instalove well if ignorance is bliss then dont wake me up and ill prolly be the last to know whoa cause i dont get on the internet no more instalove well if ignorance is bliss then dont wake me up and ill prolly be the last to know whoa cause i dont get on the internet no more  outro ooh ooh ooh ooh ooh ooh,208,27,0.066,0.226,0.708,-0.9896,post
Goodbyes (Ft.YoungThug),https://genius.com/Post-malone-goodbyes-lyrics, post malone me and kurt feel the same too much pleasure is pain my girl spites me in vain all i do is complain she needs something to change need to take off the eeedge so fuck it all tonight and dont tell me to shut up when you know you talk too much but you dont got shit to say say   post malone i want you out of my head i want you out of my bedroom tonight bedroom theres no way i could save you save you cause i need to be saved too im no good at goodbyes   post malone were both actin insane but too stubborn to change now im drinkin again 80 proof in my veins and my fingertips stained looking over the eeedge dont fuck with me tonight say you needed this heart then you got it got it turns out that it wasnt what you wanted wanted and we wouldnt let go and we lost it now im a goner   post malone i want you out of my head head i want you out of my bedroom tonight bedroom theres no way i could save you save you cause i need to be saved too saved too im no good at goodbyes  verse 3 young thug i want you out of my life i want you back here tonight im tryna cut you no knife i wanna slice you and dice you my argue possessive it got you precise can you not turn off the tv im watchin the fight i flood the garage blue diamond no shark youre barbie life doll its nicki minaj you dont need a key to drive your car on the charger i just wanna see the side the one thats unbothered yeah and i dont want ya to never go outside outside i promise if they play my niggas slidin slidin im fuckin her and the tour bus still ridin ridin yeah yeah yeah yeah yeah   post malone i want you out of my head head i want you out of my bedroom tonight bedroom theres no way i could save you save you cause i need to be saved too saved too im no good at goodbyes  outro post malone  young thug goodbye goodbye goodbye bye bye goodbye goodbye goodbye bye bye yeah yeah yeah yeah yeah goodbye goodbye goodbye bye bye bye im no good at goodbyes goodbye goodbye goodbye bye bye goodbye goodbye goodbye bye bye goodbye goodbye goodbye bye bye im no good at goodbyes,422,27,0.23399999999999999,0.13,0.636,0.9947,post
Myself,https://genius.com/Post-malone-myself-lyrics, i wish i couldve been there myself   its what it is its how i live all theu2005placesu2005ive been i wishu2005i couldve been there myself i madeu2005so much spent so much and i cant get enough i wish i couldve been there myself wish i couldve been there myself   your second cousin lives in orlando orlando and yeah i just finished a show just finished a show people shoving shots down their damn throat some selling yes but im gonna say no gonna say no   its what it is its how i live all the places ive been ive been i wish i couldve been there myself wish i couldve been there myself i made so much spent so much and i cant get enough i cant get enough i wish i couldve been there myself   all of this american dreamin everybodys sick of believin oh lets not give a fuck til giving a fuck has no meaning oh im sick of believing all of this american dreaming oh lets not give a fuck til giving a fuck has no meaning oh   its what it is its how i live all the places ive been i wish i couldve been there myself wish i couldve been there myself i made so much spent so much and i cant get enough no i cant get enough i wish i couldve been there myself wish i couldve been there myself  outro no i cant get enough oh oh oh oh,247,27,0.207,0.10300000000000001,0.69,0.9790000000000001,post
I Know,https://genius.com/Post-malone-i-know-lyrics, our love will never be another youre just a devil undercover undercover found you when you wereu2005inu2005the gutter inu2005the gutter shit was sweet until iu2005was a sucker shout out jonas brothers i learned more than i cared to discover discover dont you know that im more than a come up come up you act up and then act like its nothin nothin sold your soul you stone cold you a stunner stunner  pre every time you left left shit was never right right in another bed bed every single night night had it to a science science you were so precise cise see it in your eyes eyes saw you in the light light somehow mami i still want you listen to me dont drive away dont drive away kill me softly your hold on me is ooh somethin i cant explain   i know you could never be my bitch yeah shit could never be like this oh i know stop thinkin youre in my plans plans hunnid times you blew another chance chance i know you were gettin down on the low down the low then runnin back to me in the morning in the morning i know shit could never be like this you could never be my bitch no no oh   our love will never be another uh youre just a devil undercover undercover found you when you were in the gutter in the gutter shit was sweet until i was a sucker til i was a sucker yeah rather be single for life single for life rather be single than be fuckin with you i aint rollin the dice no i aint rollin the dice i aint playin to lose no  pre every time you left shit was never right no in another bed bed every single night oh had it to a science you were so precise yeah see it in your eyes saw you in the light light somehow mami i still want you want you listen to me dont drive away dont drive away kill me softly your hold on me is ayy somethin i cant explain   i know you could never be my bitch be my bitch shit could never be like this be like this i know stop thinkin youre in my plans plans hunnid times you blew another chance blew another chance i know you were gettin down on the low down on the low then runnin back to me in the morning i know shit could never be like this be like this you could never be my bitch no no  outro be my bitch it could never be like this shit could never be like this it could never be like this,454,28,0.16699999999999998,0.149,0.684,0.5491,post
Wow.,https://genius.com/Post-malone-wow-lyrics, said she tired of little money need a big boy pull up 20 inch blades like im lil troy now its everybody flockin need a decoy shawty mixing up the vodka with the lacroix yeah gwagen gwagen gwagen gwagen all the housewives pullin up up up i got a lot of toys 720s bumpin fall out boy you was talkin shit in the beginning mmmm back when i was feelin more forgivin more forgivin i know it piss you off to see me winnin see me winnin see the igloo in my mouth when i be grinnin i be grinnin yeah   hunnid bands in my pocket its on me hunnid deep when i roll like the army get more bottles these bottles are lonely its a moment when i show up got em sayin wow wow wow hunnid bands in my pocket its on me on me yeah your grandmama probably know me know me get more bottles these bottles are lonely its a moment when i show up got em sayin wow wow wow   everywhere i go hey catch me on the block like im mutombo wow 750 lambo in the utah snow skrrt trunk in the front like that shit dumbo yeah cut the roof off like a niptuck pull up to the house with some big butts turn the kitchen counter to a stripclub yeah wow me and dre came for the when i got guap all of yall just appeared wow before i dropped stoney none of yall really cared cared now they always say congratulations to the kid kid and this is not a 40 but im pourin out this shit yeah used to have a lot but i got more now yup made another hit cause i got bored now yup always goin for it never punt fourth down last call hail mary prescott touchdown ayy   hunnid bands in my pocket its on me on me hunnid deep when i roll like the army hey get more bottles these bottles are lonely its a moment when i show up got em sayin wow wow wow hunnid bands in my pocket its on me yeah yeah yeah your grandmama probably know me yeah yeah get more bottles these bottles are lonely its a moment when i show up got em sayin wow  outro got em sayin wow ayy ayy wow sayin wow wow wow,399,30,0.244,0.064,0.6920000000000001,0.9977,post
Dreams Money Can Buy,https://genius.com/Drake-dreams-money-can-buy-lyrics, jai paul oohoohooh oohoohoohooh oohoohooh oohoohoohooh oohoohooh oohoohoohooh oohoohooh oohooh oohooh   jai paul dont fuck with me dont fuck with me dont fuck with me dont fuck with me dont fuck with me dont fuck with me dont   drake i got car money fresh start money i want saudi money i want art money i want women to cry and pour out they heart for me and tell me how much they hate it when they apart from me yeah and lately i do bitches the meanest tell em i love em and dont ever mean it we go on dates i send the maybach out in neighborhoods they never seen it that shit is dangerous but its so convenient i aint lying yeah and comfortable i sit that manual ferrari italias some fly shit its sitting at the house like i bought it in 96 cause honestly im too fucking busy to drive stick i swear too fucking busy too busy fuckin this nigga girl but to me she wasnt been hot before they open doors for me preheated oven im in this ho but i aint finished though its been a minute though my newest girl from back home got issues with parents and some charges how the fuck can i get her to paris luckily im the greatest my countrys ever seen so chances are i get the border to issue me clearance dreams money can buy everybody yelled surprise i wasnt surprised thats only cause i been waiting on it nigga so fuck whoever hating on a nigga of course   dont fuck with me dont fuck with me dont dont fuck with me dont fuck with me dont dont fuck with me dont fuck with me dont dont fuck with me dont fuck with me dont   drake food from india she in charlotte olympias we talked music for hours she never mentioned ya cant tell you how much i love when niggas think they got it and i love the fact that line made em think about it ymcmb these niggas make it so hard to be friendly when i know part of its envy tryna fill the shoes nigga so far these are empty i take em off in the house because the throw carpets are fendi ooh i never seen the car you claim to drive or shit i seen it you just aint inside and i feel like lately it went from top five to remaining five my favorite rappers either lost it or they aint alive and they tryna bring us down me weezy and stunna we stayed up christmas lights in the middle of summer and if the girl standing next to me got a fat ass then ill probably give her my number yeah i throw my dollars up high and they land on the stage you dance on we got company coming over would it kill you to put some pants on dreams money can buy they told me its like a high and it wasnt a lie yeah just have some good pussy waiting on a nigga and fuck whoever hating on a nigga aw yeah   jai paul dont fuck with me dont fuck with me dont dont fuck with me dont fuck with me dont dont fuck with me dont fuck with me dont dont fuck with me dont fuck with me dont  outro jai paul dont dont fuck with me dont fuck with me dont,579,28,0.254,0.096,0.65,0.9988,drake
